Long,GEOID,FIPS,County,Primary Census Tract,Prostate__Observed,Prostate__Expected,Prostate_SIR,Prostate_Crude,Signif
1400000US36047031400,36047031400,36047,Kings,314,16,22.1,0.723981901,8.51970181,N
1400000US36047051200,36047051200,36047,Kings,512,11,15.2,0.723684211,4.300234558,N
1400000US36081006100,36081006100,36081,Queens,61,11,15.2,0.723684211,4.219409283,N
1400000US36081079702,36081079702,36081,Queens,797.02,12,16.6,0.722891566,4.674717569,N
1400000US36081009100,36081009100,36081,Queens,91,6,8.3,0.722891566,3.878474467,N
1400000US36047026500,36047026500,36047,Kings,265,7,9.7,0.721649485,4.263093788,N
1400000US36061016002,36061016002,36061,New York,160.02,7,9.7,0.721649485,4.297114794,N
1400000US36081008800,36081008800,36081,Queens,88,8,11.1,0.720720721,4.235044997,N
1400000US36085011201,36085011201,36085,Richmond,112.01,16,22.3,0.717488789,7.497656982,N
1400000US36061000202,36061000202,36061,New York,2.02,23,32.1,0.716510903,6.94025347,N
1400000US36061018900,36061018900,36061,New York,189,30,42,0.714285714,6.243496358,N
1400000US36081013400,36081013400,36081,Queens,134,15,21,0.714285714,5.671077505,N
1400000US36005028800,36005028800,36005,Bronx,288,10,14,0.714285714,5.807200929,N
1400000US36081053100,36081053100,36081,Queens,531,7,9.8,0.714285714,5.166051661,N
1400000US36047021600,36047021600,36047,Kings,216,6,8.4,0.714285714,2.559726962,N
1400000US36047023000,36047023000,36047,Kings,230,6,8.4,0.714285714,3.171247357,N
1400000US36047016300,36047016300,36047,Kings,163,5,7,0.714285714,3.130870382,N
1400000US36047059300,36047059300,36047,Kings,593,4,5.6,0.714285714,4.08997955,Y
1400000US36047019100,36047019100,36047,Kings,191,3,4.2,0.714285714,2.375296912,N
1400000US36005012102,36005012102,36005,Bronx,121.02,2,2.8,0.714285714,2.624671916,N
1400000US36005027401,36005027401,36005,Bronx,274.01,16,22.5,0.711111111,7.098491571,N
1400000US36005029700,36005029700,36005,Bronx,297,13,18.3,0.710382514,6.911217438,N
1400000US36047026800,36047026800,36047,Kings,268,11,15.5,0.709677419,5.894962487,N
1400000US36081005400,36081005400,36081,Queens,54,11,15.5,0.709677419,4.06504065,N
1400000US36081102900,36081102900,36081,Queens,1029,11,15.5,0.709677419,6.575014943,N
